,MolecularWeight,num_of_atoms,num_of_heavy_atoms,num_of_C_atoms,num_of_O_atoms,num_of_N_atoms,PolarA,PolarB,TopoCharge,VdW,AromaticA,AromaticB,HBondAcceptorCount,HBondDonorCount,XLogP,TPSA,Sulphur atoms
green,164.08879049676025,28.309935205183585,11.420086393088553,9.59827213822894,1.509719222462203,0.13174946004319654,29.169868812095032,19.29798431965443,0.3763329637138229,180.46266055174948,1.4416846652267818,1.4438444924406046,3.3775770575680344,11.540980520985963,12.721678640123109,222.52843330646868,0.18034557235421167
fruity,172.13790592930445,29.37970353477765,12.091220068415051,10.055872291904219,1.9064994298745723,0.03876852907639681,30.15403587913341,19.858240061573543,0.4182012284190422,188.48667042446408,1.2519954389965793,1.25769669327252,3.2461754346852905,10.948278790285062,11.940313544166477,211.01402989684152,0.09007981755986318
flower,191.90501466275657,32.37683284457478,13.80791788856305,11.969208211143695,1.7917888563049853,0.04105571847507331,33.86938497360704,20.765497724340175,0.42086847766862173,208.68507822774197,3.1803519061583576,3.196480938416422,3.079848645972141,10.215325971104107,10.996392381057184,196.78975067620235,0.005865102639296188
savory,151.35400207468882,23.384508990318118,10.186721991701244,8.057399723374827,1.4280774550484094,0.22475795297372061,25.030413286307056,15.947719493775935,0.4084549591002767,154.8572828831812,2.335408022130014,2.3457814661134164,3.047034702278008,10.083229377197787,10.795729953641771,194.17614748388658,0.47648686030428766
animal,175.32656250000002,29.140625,12.71875,11.0,1.296875,0.421875,30.824147546875,18.127727453124997,0.39000731584375004,184.72148207218748,4.203125,4.34375,2.63362665984375,8.2487773293125,8.500443996234374,158.80255615875,0.0
herbal,168.97198333333333,29.046666666666667,12.078333333333333,10.45,1.54,0.06166666666666667,30.146112555,18.885020778333335,0.48511940781333335,184.58177294571666,1.825,1.8383333333333334,3.03157196278,10.028993093845,10.750981288178334,193.12167280635,0.02666666666666667
spices,151.5818811881188,22.247524752475247,11.029702970297029,9.108910891089108,1.900990099009901,0.009900990099009901,24.256044247524756,13.738747831683165,0.425612859950495,151.51395344920792,4.475247524752476,4.514851485148514,2.7847559205940593,8.967464548881189,9.344349862000001,172.39045842019803,0.009900990099009901
earthy,159.72173410404625,26.6242774566474,11.3121387283237,9.578034682080926,1.1271676300578035,0.45664739884393063,28.047483566473986,17.4817071849711,0.42670036532369937,168.83779055601156,3.1965317919075145,3.213872832369942,3.0717165301213876,10.174983458225434,10.918452870682081,195.97623776427747,0.15028901734104047
woody,187.18858369098714,32.84549356223176,13.484978540772532,12.081545064377682,1.3433476394849786,0.04721030042918455,34.252271343347644,20.892638527896995,0.5617800859570816,205.50760332077252,1.4763948497854078,1.48068669527897,3.099362118587983,10.30034311169957,11.088642468030043,198.41501356055798,0.012875536480686695
alcohol,170.11746312684363,30.51032448377581,11.858407079646017,9.619469026548673,2.218289085545723,0.02064896755162242,30.303262946902656,21.574265076696165,0.40407928611209437,189.40135850740413,0.35693215339233036,0.35693215339233036,3.0393504111445426,10.063747271769913,10.782075688663715,193.78887430858407,0.0
aquatic,151.33775229357798,26.61467889908257,10.600917431192661,8.805045871559633,1.7362385321100917,0.013761467889908258,26.922919096330276,18.36268182110092,0.4260970599426605,167.53704824869266,0.8027522935779816,0.8027522935779816,3.0581966007844037,10.115435706279817,10.8425348080711,194.8243840048165,0.045871559633027525
