1;green;green;Cucumber;Radish;Celery;galbanum;Grassy;Weedy;Leafy;Moss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Fruity;Fruity;Ripe;Juicy;Tropical;Coconut;Pear;Pineapple;Plum;Apple;Apricot;Peach;Cherry;Melon;Fruit;Berry;Berry;Strawberry;Raspberry;Grape;Hawthorn;Citrus;Orange;Grapefruit;Lemon;Citrus;Bergamot;Orange-blossom;Black currant;banana;;;;;;;;;;;;;;;;;;
3;Flower;Flower;Gardenia;Rose;Geranium;Orris;Hyacinth;Violet;Narcissus;Mimosa;Floral;white flowers;Lilac;Lily;Jasmine;Muguet;Orange-blossom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Savory;Savory;Fermented;Cooked;Savory;Roasted;Burnt;Smoky;Brown;Bitter;Nutty;Vegetable;Potato;Bread;Cocoa;Horseradish;Hazelnut;Chicken;Caramellic;Almond;Tomato;Meaty;Beefy;Sour;Sweat;Buttery;Acid;Dairy;Cheesy;Milky;Alliaceous;sulfurous;Brothy;Onion;Cabbage;Garlic;Mushroom;Gourmand;Cocoa;Hazelnut;Caramel;Almond;Coffee;Chocolate;Coffee;Vanilla;Honey;Popcorn
5;Animal;Animal;Animal;Amber;musc;Musk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Herbal;Herbal;Chamomile;Hay;camphoreous;Mint;Tea;Tobacco;Vetiver;Menthol;Lavender;herbal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Spices;Spices;anisic;Cinnamon;Licorice;Clove;Coumarinic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Earthy;Earthy;Root;Patchouli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Woody;Woody;Pine;Sandalwood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;alcohol;alcoholic;Rum;Cognac;Brandy;winey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;aquatic;aquatic;ethereal;Watery;Marine;Ozone;metallic;Fresh;Cooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
